id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,target_bad
6938013,6608967,6500.0,6500.0,6500.0, 60 months,14.65,153.45,C,C3,REDACTED,5 years,OWN,72000.0,Not Verified,Dec-2011,Fully Paid,n,,,debt_consolidation,Loan Application,85xxx,AZ,16.12,0.0,Jan-1998,2.0,,,14.0,0.0,4032.0,20.6,23.0,f,0.0,0.0,7677.52,7677.52,6500.0,1177.52,0.0,0.0,0.0,Jun-2013,1655.54,,Dec-2015,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
5188936,3442184,12000.0,12000.0,12000.0, 36 months,12.69,402.54,B,B5,REDACTED,10+ years,OWN,75000.0,Source Verified,Dec-2011,Fully Paid,n,,,debt_consolidation,Loan Application,91xxx,CA,10.78,0.0,Oct-1989,0.0,,,12.0,0.0,23336.0,67.1,34.0,f,0.0,0.0,13943.08,13943.08,12000.0,1943.08,0.0,0.0,0.0,Sep-2013,6315.3,,Aug-2013,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
7312236,7018980,9000.0,9000.0,9000.0, 36 months,13.49,305.38,C,C1,REDACTED,< 1 year,RENT,30000.0,Source Verified,Dec-2011,Charged Off,n,,,debt_consolidation,Loan Application,24xxx,VA,10.08,0.0,Apr-2004,1.0,,,4.0,0.0,10452.0,91.7,9.0,f,0.0,0.0,2270.7,2270.7,1256.14,570.26,0.0,444.3,4.16,Jul-2012,305.38,,Nov-2012,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,1.0
6584396,6822346,3000.0,3000.0,3000.0, 36 months,9.91,96.68,B,B1,REDACTED,3 years,RENT,15000.0,Source Verified,Dec-2011,Fully Paid,n,,,credit_card,Loan Application,60xxx,IL,12.56,0.0,Jul-2003,2.0,,,11.0,0.0,7323.0,43.1,11.0,f,0.0,0.0,3478.98191538,3478.98,3000.0,478.98,0.0,0.0,0.0,Jan-2015,102.43,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
9068978,4526127,10000.0,10000.0,10000.0, 36 months,10.65,325.74,B,B2,REDACTED,3 years,RENT,100000.0,Source Verified,Dec-2011,Charged Off,n,,,other,Loan Application,95xxx,CA,7.06,0.0,May-1991,2.0,,,14.0,0.0,11997.0,55.5,29.0,f,0.0,0.0,7471.99,7471.99,5433.47,1393.42,0.0,645.1,6.3145,Oct-2013,325.74,,Mar-2014,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,1.0
5400334,8422418,1000.0,1000.0,1000.0, 36 months,16.29,35.31,D,D1,REDACTED,< 1 year,RENT,28000.0,Not Verified,Dec-2011,Fully Paid,n,,,debt_consolidation,Loan Application,64xxx,MO,20.31,0.0,Sep-2007,1.0,,,11.0,0.0,6524.0,81.5,23.0,f,0.0,0.0,1270.1711062,1270.17,1000.0,270.17,0.0,0.0,0.0,Jan-2015,36.32,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
7997115,9431442,10000.0,10000.0,10000.0, 36 months,15.27,347.98,C,C4,REDACTED,4 years,RENT,42000.0,Not Verified,Dec-2011,Fully Paid,n,,,home_improvement,Loan Application,92xxx,CA,18.6,0.0,Oct-1998,2.0,61.0,,14.0,0.0,24043.0,70.2,28.0,f,0.0,0.0,12519.2604496,12519.26,10000.0,2519.26,0.0,0.0,0.0,Jan-2015,370.46,,Apr-2015,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
5977032,1349363,3600.0,3600.0,3600.0, 36 months,6.03,109.57,A,A1,REDACTED,10+ years,MORTGAGE,110000.0,Not Verified,Dec-2011,Fully Paid,n,,,major_purchase,Loan Application,06xxx,CT,10.52,0.0,Aug-1993,0.0,,,20.0,0.0,22836.0,16.0,42.0,f,0.0,0.0,3785.02,3785.02,3600.0,185.02,0.0,0.0,0.0,May-2013,583.45,,May-2014,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
3894719,5984118,6000.0,6000.0,6000.0, 36 months,11.71,198.46,B,B3,REDACTED,1 year,MORTGAGE,84000.0,Verified,Dec-2011,Fully Paid,n,,,medical,Loan Application,89xxx,UT,18.44,2.0,Oct-2003,0.0,8.0,,4.0,0.0,0.0,37.73,14.0,f,0.0,0.0,7164.4998522,7164.5,6000.0,1149.5,15.0,0.0,0.0,Feb-2015,16.98,,Jul-2015,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
3767782,4245534,9200.0,9200.0,9200.0, 36 months,6.03,280.01,A,A1,REDACTED,6 years,RENT,77385.19,Not Verified,Dec-2011,Fully Paid,n,,,debt_consolidation,Loan Application,92xxx,CA,9.86,0.0,Jan-2001,0.0,,,8.0,0.0,7314.0,23.1,28.0,f,0.0,0.0,9459.96,9459.96,9200.0,259.96,0.0,0.0,0.0,Jul-2012,8061.1,,Jul-2012,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
4059961,3059929,20250.0,20250.0,19142.1610771, 60 months,15.27,484.63,C,C4,REDACTED,3 years,RENT,43370.0,Verified,Dec-2011,Fully Paid,n,,,debt_consolidation,Loan Application,77xxx,TX,26.53,0.0,Nov-1997,3.0,,,8.0,0.0,17813.0,85.6,22.0,f,0.0,0.0,27663.042671,25417.68,20250.0,7413.04,0.0,0.0,0.0,Aug-2015,6024.09,,Dec-2015,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
6902315,1810886,21000.0,21000.0,21000.0, 36 months,12.42,701.73,B,B4,REDACTED,10+ years,RENT,105000.0,Verified,Dec-2011,Charged Off,n,,,debt_consolidation,Loan Application,33xxx,FL,13.22,0.0,Feb-1983,0.0,,,7.0,0.0,32135.0,90.3,38.0,f,0.0,0.0,14025.4,14025.4,10694.96,3330.44,0.0,0.0,0.0,Sep-2013,701.73,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,1.0
4994441,2325649,10000.0,10000.0,10000.0, 36 months,11.71,330.76,B,B3,REDACTED,10+ years,OWN,50000.0,Source Verified,Dec-2011,Fully Paid,n,,,credit_card,Loan Application,79xxx,TX,11.18,0.0,Jul-1985,0.0,,,8.0,0.0,10056.0,82.4,21.0,f,0.0,0.0,11902.5615747,11902.56,10000.0,1902.56,0.0,0.0,0.0,Jan-2015,349.21,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
7862184,5776718,10000.0,10000.0,10000.0, 36 months,11.71,330.76,B,B3,REDACTED,5 years,RENT,50000.0,Not Verified,Dec-2011,Fully Paid,n,,,debt_consolidation,Loan Application,91xxx,CA,16.01,0.0,Apr-2003,0.0,,,6.0,0.0,17800.0,91.8,17.0,f,0.0,0.0,11536.31,11536.31,10000.0,1536.31,0.0,0.0,0.0,Oct-2013,4942.63,,Mar-2014,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
2500271,9975535,6000.0,6000.0,6000.0, 36 months,11.71,198.46,B,B3,REDACTED,1 year,RENT,76000.0,Not Verified,Dec-2011,Charged Off,n,,,major_purchase,Loan Application,90xxx,CA,2.4,0.0,Jun-2001,1.0,,,7.0,0.0,5963.0,29.7,7.0,f,0.0,0.0,2050.14,2050.14,1305.58,475.25,0.0,269.31,2.57,Oct-2012,198.46,,Mar-2013,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,1.0
3866165,6856706,15000.0,15000.0,15000.0, 36 months,9.91,483.38,B,B1,REDACTED,2 years,MORTGAGE,92000.0,Verified,Dec-2011,Fully Paid,n,,,credit_card,Loan Application,60xxx,IL,29.44,0.0,Feb-2002,0.0,,,8.0,0.0,13707.0,93.9,31.0,f,0.0,0.0,15823.48,15823.48,15000.0,823.48,0.0,0.0,0.0,Sep-2012,2447.05,,Sep-2012,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
6886692,2098851,15000.0,15000.0,8725.0, 36 months,14.27,514.64,C,C2,REDACTED,9 years,RENT,60000.0,Not Verified,Dec-2011,Charged Off,n,,,debt_consolidation,Loan Application,10xxx,NY,15.22,0.0,Oct-2003,1.0,,,7.0,0.0,5872.0,57.6,11.0,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,1.0
5643408,7484864,5000.0,5000.0,5000.0, 60 months,16.77,123.65,D,D2,REDACTED,2 years,RENT,50004.0,Not Verified,Dec-2011,Charged Off,n,,,other,Loan Application,15xxx,PA,13.97,3.0,Oct-2003,0.0,20.0,,14.0,0.0,4345.0,59.5,22.0,f,0.0,0.0,1609.12,1609.12,629.05,719.11,0.0,260.96,2.3,Dec-2012,123.65,,May-2013,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,1.0
9574129,9168771,4000.0,4000.0,4000.0, 36 months,11.71,132.31,B,B3,REDACTED,10+ years,MORTGAGE,106000.0,Not Verified,Dec-2011,Fully Paid,n,,,debt_consolidation,Loan Application,32xxx,FL,5.63,1.0,Aug-1984,0.0,18.0,,12.0,0.0,6110.0,37.7,44.0,f,0.0,0.0,4484.79,4484.79,4000.0,484.79,0.0,0.0,0.0,Apr-2013,2638.77,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
4229402,8999602,8500.0,8500.0,8500.0, 36 months,11.71,281.15,B,B3,REDACTED,< 1 year,RENT,25000.0,Source Verified,Dec-2011,Fully Paid,n,,,credit_card,Loan Application,56xxx,MN,12.19,0.0,Nov-2006,0.0,,,8.0,0.0,6441.0,59.1,12.0,f,0.0,0.0,10122.2086138,10122.21,8500.0,1622.21,0.0,0.0,0.0,Dec-2014,581.59,,Jan-2015,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
5421993,6768326,4375.0,4375.0,4375.0, 36 months,7.51,136.11,A,A3,REDACTED,7 years,MORTGAGE,17108.0,Source Verified,Dec-2011,Fully Paid,n,,,debt_consolidation,Loan Application,14xxx,NY,20.34,0.0,Dec-1987,0.0,,,6.0,0.0,11210.0,86.9,12.0,f,0.0,0.0,4898.54355838,4898.54,4375.0,523.54,0.0,0.0,0.0,Jan-2015,144.94,,Dec-2014,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
2631025,9450043,31825.0,31825.0,31825.0, 36 months,7.9,995.82,A,A4,REDACTED,5 years,MORTGAGE,75000.0,Verified,Dec-2011,Fully Paid,n,,,debt_consolidation,Loan Application,08xxx,NJ,14.03,0.0,Nov-1981,0.0,,,12.0,0.0,23151.0,27.4,26.0,f,0.0,0.0,34886.08,34886.08,31825.0,3061.08,0.0,0.0,0.0,Aug-2013,16966.7,,Oct-2015,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
2702095,2902965,10000.0,10000.0,9975.0, 60 months,15.96,242.97,C,C5,REDACTED,2 years,RENT,29120.0,Verified,Dec-2011,Current,n,,,debt_consolidation,Loan Application,33xxx,FL,22.83,0.0,Feb-1997,1.0,68.0,,11.0,0.0,16158.0,63.6,31.0,f,2695.31,2688.53,11622.36,11593.4,7304.67,4317.69,0.0,0.0,0.0,Jan-2016,242.97,Jan-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,
1961017,9176081,5000.0,5000.0,5000.0, 36 months,8.9,158.77,A,A5,REDACTED,2 years,RENT,24044.0,Verified,Dec-2011,Fully Paid,n,,,debt_consolidation,Loan Application,97xxx,OR,11.93,0.0,Apr-2005,0.0,45.0,,8.0,0.0,2224.0,29.3,16.0,f,0.0,0.0,5714.59212878,5714.59,5000.0,714.59,0.0,0.0,0.0,Jan-2015,163.64,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
5816234,9400898,7000.0,7000.0,7000.0, 36 months,15.96,245.97,C,C5,REDACTED,7 years,RENT,34000.0,Source Verified,Dec-2011,Fully Paid,n,,,credit_card,Loan Application,93xxx,CA,6.35,0.0,Oct-2007,1.0,,,6.0,0.0,6113.0,60.5,6.0,f,0.0,0.0,8848.94043027,8848.94,7000.0,1848.94,0.0,0.0,0.0,Jan-2015,260.74,,Dec-2014,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
6421517,3457010,12400.0,12400.0,12400.0, 36 months,10.65,403.91,B,B2,REDACTED,10+ years,RENT,41000.0,Not Verified,Dec-2011,Fully Paid,n,,,credit_card,Loan Application,40xxx,KY,11.8,0.0,Jul-2005,2.0,,,9.0,0.0,11095.0,57.2,12.0,f,0.0,0.0,14537.4595273,14537.46,12400.0,2137.46,0.0,0.0,0.0,Jan-2015,417.61,,Dec-2014,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
2718816,2333170,10800.0,10800.0,10800.0, 36 months,9.91,348.03,B,B1,REDACTED,2 years,RENT,55596.0,Source Verified,Dec-2011,Fully Paid,n,,,moving,Loan Application,94xxx,CA,5.5,0.0,Dec-2000,0.0,,,7.0,0.0,2535.0,13.3,18.0,f,0.0,0.0,12157.2,12157.2,10800.0,1357.2,0.0,0.0,0.0,Nov-2013,3483.79,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
7598817,2225279,15000.0,15000.0,15000.0, 36 months,7.9,469.36,A,A4,REDACTED,1 year,RENT,45000.0,Verified,Dec-2011,Fully Paid,n,,,debt_consolidation,Loan Application,44xxx,OH,8.48,0.0,Nov-2004,0.0,,,7.0,0.0,6704.0,50.4,27.0,f,0.0,0.0,16662.6,16662.6,15000.0,1662.6,0.0,0.0,0.0,Jan-2014,5872.8,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
2689395,9120645,6000.0,6000.0,6000.0, 36 months,12.42,200.5,B,B4,REDACTED,1 year,RENT,36852.0,Source Verified,Dec-2011,Fully Paid,n,,,debt_consolidation,Loan Application,85xxx,AZ,10.62,0.0,Apr-2007,1.0,,,7.0,0.0,7310.0,66.5,12.0,f,0.0,0.0,7125.2831651,7125.28,6000.0,1125.28,0.0,0.0,0.0,Apr-2014,1923.53,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
3403689,3527916,12500.0,12500.0,12475.0, 60 months,12.69,282.44,B,B5,REDACTED,1 year,RENT,27000.0,Verified,Dec-2011,Current,n,,,debt_consolidation,Loan Application,60xxx,IL,16.04,0.0,Dec-2001,3.0,,,6.0,0.0,10143.0,50.0,24.0,f,3193.13,3186.72,13506.54,13479.58,9306.87,4199.67,0.0,0.0,0.0,Jan-2016,282.44,Jan-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,
8255805,9088770,9600.0,9600.0,9600.0, 36 months,7.51,298.67,A,A3,REDACTED,4 years,RENT,68004.0,Source Verified,Dec-2011,Fully Paid,n,,,other,Loan Application,29xxx,SC,6.63,0.0,Jan-2003,0.0,,,6.0,0.0,2896.0,18.1,11.0,f,0.0,0.0,10749.7626454,10749.76,9600.0,1149.76,0.0,0.0,0.0,Jan-2015,311.56,,Dec-2014,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
7087285,3143073,12000.0,12000.0,12000.0, 36 months,7.9,375.49,A,A4,REDACTED,10+ years,RENT,62300.0,Not Verified,Dec-2011,Fully Paid,n,,,debt_consolidation,Loan Application,08xxx,NJ,16.7,0.0,Mar-1994,0.0,38.0,,15.0,0.0,8601.0,21.0,25.0,f,0.0,0.0,13516.3829573,13516.38,12000.0,1516.38,0.0,0.0,0.0,Jan-2015,380.98,,Sep-2015,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
7004107,8880322,3000.0,3000.0,3000.0, 36 months,18.25,108.84,D,D5,REDACTED,9 years,MORTGAGE,65000.0,Not Verified,Dec-2011,Fully Paid,n,,,other,Loan Application,18xxx,PA,17.39,0.0,Sep-1998,0.0,,,8.0,0.0,43936.0,98.1,22.0,f,0.0,0.0,3915.02759536,3915.03,3000.0,915.03,0.0,0.0,0.0,Jan-2015,115.38,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
2951934,1557222,4400.0,4400.0,4400.0, 36 months,16.77,156.37,D,D2,REDACTED,10+ years,RENT,55000.0,Not Verified,Dec-2011,Fully Paid,n,,,debt_consolidation,Loan Application,02xxx,RI,20.01,0.0,Jun-2004,0.0,,,7.0,0.0,25237.0,99.0,11.0,f,0.0,0.0,5626.89265505,5626.89,4400.0,1226.89,0.0,0.0,0.0,Jan-2015,162.44,,Dec-2015,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
1900568,6086474,6000.0,6000.0,6000.0, 36 months,6.03,182.62,A,A1,REDACTED,10+ years,MORTGAGE,45600.0,Not Verified,Dec-2011,Fully Paid,n,,,debt_consolidation,Loan Application,70xxx,LA,5.34,0.0,Nov-1995,1.0,,,6.0,0.0,3378.0,32.5,28.0,f,0.0,0.0,6065.86,6065.86,6000.0,65.86,0.0,0.0,0.0,Jul-2012,15.01,,Jun-2012,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
6221611,9137954,14000.0,14000.0,14000.0, 36 months,9.91,451.15,B,B1,REDACTED,6 years,RENT,80000.0,Not Verified,Dec-2011,Fully Paid,n,,,small_business,Loan Application,01xxx,MA,10.0,0.0,Jul-1999,1.0,45.0,,7.0,0.0,2219.0,13.4,40.0,f,0.0,0.0,16239.9141276,16239.91,14000.0,2239.91,0.0,0.0,0.0,Jan-2015,457.91,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
9109052,5843108,5000.0,5000.0,5000.0, 36 months,8.9,158.77,A,A5,REDACTED,10+ years,MORTGAGE,100000.0,Source Verified,Dec-2011,Charged Off,n,,,debt_consolidation,Loan Application,44xxx,OH,16.33,0.0,Jun-1995,0.0,,,17.0,0.0,74351.0,62.1,35.0,f,0.0,0.0,5021.37,5021.37,4217.38,696.99,0.0,107.0,1.07,Aug-2014,158.77,,Dec-2014,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,1.0
5315797,6310746,10000.0,10000.0,10000.0, 36 months,10.65,325.74,B,B2,REDACTED,6 years,RENT,27000.0,Verified,Dec-2011,Fully Paid,n,,,other,Loan Application,10xxx,NY,11.47,0.0,Nov-2006,0.0,,,7.0,0.0,7814.0,52.3,10.0,f,0.0,0.0,11724.5677368,11724.57,10000.0,1724.57,0.0,0.0,0.0,Jan-2015,332.92,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
2939049,9013640,10000.0,10000.0,10000.0, 36 months,6.03,304.36,A,A1,REDACTED,10+ years,RENT,60000.0,Not Verified,Dec-2011,Fully Paid,n,,,credit_card,Loan Application,06xxx,CT,12.74,0.0,Sep-1992,1.0,,,11.0,0.0,14019.0,19.5,18.0,f,0.0,0.0,10282.67,10282.67,10000.0,282.67,0.0,0.0,0.0,Jul-2012,8762.05,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
2823143,6329312,11000.0,11000.0,11000.0, 36 months,6.62,337.75,A,A2,REDACTED,5 years,RENT,70000.0,Not Verified,Dec-2011,Fully Paid,n,,,debt_consolidation,Loan Application,06xxx,CT,10.85,0.0,Jan-2002,0.0,,,5.0,0.0,11638.0,36.4,7.0,f,0.0,0.0,12157.3800468,12157.38,11000.0,1157.38,0.0,0.0,0.0,Jan-2015,346.13,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
